T1799_001_0001	首楞嚴經疏序大佛頂密因了義首楞嚴經者乃竺乾之洪範法苑之寶典也
T1799_001_0562	若身外處立中位者必須約表何處是中若不可表即畢竟無猶如兔角
T1799_001_0563	若可表示即成不定東西南北皆可道故能表既亂心應混雜理應不然
T1799_001_0564	二托根境以立中二一立阿難言我所說中非此二種
T1799_001_0565	如世尊言眼色為緣生於眼識眼有分別色塵無知
T1799_001_0566	識生其中則為心在身處二種非我立意眼色為緣生眼識者豈非尊言
T1799_001_0567	今約根境兩楹之間以立中位心在此也根能照境故云分別
T1799_001_0568	二破二一總徵佛言汝心若在根塵之中此之心體為復兼二
T1799_001_0569	為不兼二以此為中為復兼帶根塵二法為不爾耶二別破二一破兼二一若兼成雜破
T1799_001_0570	若兼二者物體雜亂因心所兼根塵相雜塵亦分別根亦無知
T1799_001_0571	物即塵也體即根也二不雜非中破物非體知成敵兩立云何為中
T1799_001_0572	今若不雜物自無知體自照境宛成相敵但有二相中云何存
T1799_001_0573	二破不兼兼二不成非知不知即無體性中何為相
T1799_001_0574	不兼根故名為非知不兼境故名非不知二義既非將何以表心之體性
T1799_001_0575	體性不有中位自無二結破是故應知當在中間無有是處七破無著二一引經成立阿難白佛言世尊
T1799_001_0576	我昔見佛與大目連須菩提富樓那舍利弗四大弟子共轉法輪常言覺知分別心性既不在內亦不在外不在中間俱無所在
T1799_001_0577	一切無著名之為心則我無著名為心不既非內外中間即知心無所著而不知佛意破妄無體令識本真
T1799_001_0578	如云三際求心心不有心不有故妄元無妄心無處即菩提生死涅槃本平等
T1799_001_0579	不了此意謬指其文妄立無著便謂合教舉世修行多作此計但一切時都無所著即我真心而不知執此無著亦是妄想
T1799_001_0580	楞伽云無心為心量我說為心量故下破之二據理推破二一破二一牒計雙徵
T1799_001_0581	佛告阿難汝言覺知分別心性俱無在者世間虛空水陸飛行諸所物像名為一切
T1799_001_0582	汝不著者為在為無汝言一切無著一切不出水陸空行即汝無著之心決定於彼一切法上為在不在
T1799_001_0583	在即著也若在不在二俱有過如下破之二展轉推破三一不在同
T1799_001_0584	無破無則同於龜毛兔角云何不著無者不在也若此決定不著諸法何處是心名為不著
T1799_001_0585	便同世間龜毛兔角畢竟無體體既全無而欲名誰為不著耶
T1799_001_0586	二有體成著破有不著者不可名無若此不著之心是有體者則不可言不在一切無猶不在也
T1799_001_0587	三雙指二過結責前非無相則無指初過也無即不在也相即一切也
T1799_001_0588	不在諸相則是無體如兔角等非無即相指次過也非無有體也
T1799_001_0589	體若必有即在一切故云即相相有則在云何無著
T1799_001_0590	結前非也相若有心則名為著云何妄立不著義耶
T1799_001_0591	二結是故應知一切無著名覺知心無有是處此上七段破妄所依竟然凡情所計雖復萬差因依之處不過此七
T1799_001_0592	欲推妄體先破所依其猶城陷則賊亡巢傾則卵覆徵雖有七處則唯五
T1799_001_0593	第四第七無別處故隨合無著似破能依正意在所詳之可見
T1799_001_0594	次破妄顯真二一破妄心顯真心三一阿難伸請二一責躬遭難
T1799_001_0595	爾時阿難在大眾中即從座起此下皆諮求法要恭敬之儀也
T1799_001_0596	梵漢兩儀聽眾咸坐欲有請問從座而作如禮請益則起更端則起將有承聽必須復坐
T1799_001_0597	經有退坐一面儒有居與汝言皆令攝儀受法無謬也
T1799_001_0598	言座起者從法空體起悲濟用也偏袒右肩袒肉袒也
T1799_001_0599	致敬之極西方俗儀見王者必肉袒示非敢有犯佛教亦隨此用
T1799_001_0600	然此以表將荷大法之重擔耳右膝著地胡跪也屈智就理期證入
T1799_001_0601	故皆言右者順而無逆合掌信解冥符俾悟入也已上皆身業
T1799_001_0602	恭敬意業也謹肅曰恭仰重曰敬而白佛言此上皆是經家綴緝敘敬儀也
T1799_001_0603	下即口業我是如來最小之弟解飯之子得道夜生於諸弟中是最小故
T1799_001_0604	蒙佛慈愛雖今出家猶恃憍憐所以多聞未得無漏見惑雖除俱生全在至下方得第二果故
T1799_001_0605	不能折伏娑毘羅呪為彼所轉溺於婬舍當由不知真際所詣真實邊際即至極義
T1799_001_0606	此即大教所指示處悔過責躳遭難未證蓋由不知此所詣處即如來藏體也
T1799_001_0607	二請示修行唯願世尊大慈哀愍開示我等奢摩他路令諸闡提墮彌戾車
T1799_001_0608	涅槃經云一闡云信提云不俱信不具足名曰闡提
T1799_001_0609	或云焚燒善根此即斷善根眾生也彌戾車此云樂垢穢人
T1799_001_0610	此等全不識佛法即邊邪不正之見由不正見即謗正法死墮邊地永不識佛墮毀也
T1799_001_0611	阿難請意自得正修識知真際即離邪見庶幾成佛亦冀展轉令無信根斷善眾生毀滅邪見識佛正法自利利他始為正請
T1799_001_0612	作是語已五體投地及諸大眾傾渴翹佇欽聞示誨請罷展禮深樂聞也
T1799_001_0613	傾心渴仰翹誠佇望敬聞開示誨令得入二如來現瑞
T1799_001_0614	爾時世尊從其面門放種種光其光晃曜如百千日將陳法利宜先表報警動令信也
T1799_001_0615	前放頂光表體無說此從口放欲顯言詮聲色用中無非智體種種百千具足眾德破無明暗如日之照
T1799_001_0616	普佛世界六種震動三種世間不離本覺名佛世界
T1799_001_0617	四大分湛諸根妄生故云六種無明堅厚土石成形
T1799_001_0618	震動既屬佛光妄本必為智拔六震動相如華嚴說
T1799_001_0619	如是十方微塵國土一時開現六情妄隔國土殊形妄執既融十方開現
T1799_001_0620	佛之威神令諸世界合成一界妄執未融六情殊隔真智一發法界洞然誰為自他故成一界即欲說如來藏心之先瑞也
T1799_001_0621	其世界中所有一切諸大菩薩皆住本國合掌承聽因果不二不二之體本周法界名大菩薩無明即明無所移動名住本國
T1799_001_0622	冥合此理隨順不逆名合掌承聽大眾將悟斯理故今預此表示法華說一乘竟十方世界通為一佛國土亦表十方佛土中唯有一乘法第三末經大眾領悟是此所表也
T1799_001_0623	三正為開示三一雙示真妄二源二一總斥不了佛告阿難一切眾生從無始來種種顛倒業種自然如惡叉聚凡夫外道常等四倒聲聞緣覺無常等四故云種種
T1799_001_0624	無始無明熏習成種種必有果子子相生熏習不斷如線貫珠
T1799_001_0625	次第相連名惡叉聚惡叉梵語此云線貫珠經云諸法於識藏藏於法亦然更互為果性亦常為因性
T1799_001_0626	應法師云惡叉樹名其子形如沒食子彼國多聚以賣之如此間杏仁故以為喻喻惑業苦也
T1799_001_0627	諸修行人不能得成無上菩提乃至別成聲聞緣覺及成外道諸天魔王及魔眷屬失正墮邪也
T1799_001_0628	不敘五道故云乃至二乘心行理外亦同邪見不入正理名外但修邪因名道梵云魔羅此云殺者
T1799_001_0629	皆由不知二種根本錯亂修習猶如煮沙欲成嘉饌縱經塵劫終不能得明失所以也
T1799_001_0630	迷真習妄種苦求甘沙飯異因寧論劫數心期正覺果入迷倫自謂真修焉知妄習
T1799_001_0631	不循至教但縱臆談一失通途莫返幽徑悲夫二別示二源二一示妄源云何二種阿難
T1799_001_0632	一者無始生死根本標指也則汝今者與諸眾生用攀緣心為自性者正顯也眾生受身輪迴五道莫窮初際故云無始
T1799_001_0633	聚緣內搖趣外奔逸故曰攀緣造善惡因受苦樂報死此生彼皆因此心故云根本不了是妄一迷為心決定惑為色身之內故云為自性者
T1799_001_0634	吁哉世人莫不用此攀緣妄心以為真性執妄心為佛心恃此修行轉增我慢
T1799_001_0635	涅槃經云是諸外道無有一法不從緣生計為常者悉是顛倒
T1799_001_0636	二示真源二一正示二者無始菩提涅槃元清淨體標指也
T1799_001_0637	菩提智果涅槃斷果二果本具故云無始所依之性本來不與妄染相應故云元清淨體
T1799_001_0638	何者是耶下云則汝今者識精元明能生諸緣緣所遺者正顯也
T1799_001_0639	第八梨耶於諸識中最極微細名為識精此微細識有二種義一者覺義二者不覺義
T1799_001_0640	覺義即是此文元明元明者本覺也不覺即是無明生滅謂不生不滅與生滅合非一非異名為識精
T1799_001_0641	從此變起根身種子器世間等名生諸緣識相既現元性即隱
T1799_001_0642	名緣所遺者遺失也故下文云一切眾生從無始來迷已為物失於本心
T1799_001_0643	對法經云無始時來界一切法等依由此有諸趣及涅槃證得斯之謂矣
T1799_001_0644	二斥迷由諸眾生遺此本明雖終日行而不自覺抂入諸趣本明周偏含裹無餘妙覺湛然斯須匪離步步是道故云雖終日行日用罔知故云迷不自覺
T1799_001_0645	真所謂持珠乞匃懷寶迷邦抂受淪躓誠可憐愍二正推真妄二體
T1799_001_0646	四一推徵妄體四一屈指推徵四一舉拳以問阿難
T1799_001_0647	汝今欲知奢摩他路願出生死奢摩他即出生死到涅槃之道路也
T1799_001_0648	今復問汝即時如來舉金色臂屈五輪指語阿難言汝今見不
T1799_001_0649	地水火風空輪各對一指又一一指端有千輪相故云輪指
T1799_001_0650	屈指問見意欲推心二約見以詶阿難言見佛言汝何所見
T1799_001_0651	阿難言我見如來舉臂屈指為光明拳耀我心目佛手金光耀我心目
T1799_001_0652	此即心目俱見三再審誰緣佛言汝將誰見阿難言我與大眾同將眼見
T1799_001_0653	舉拳初問便言耀我心目再審誰見又却獨不言心
T1799_001_0654	意引推徵明露妄想師資善巧共破執情善哉大權懸知今日四別推心見
T1799_001_0655	佛告阿難汝今答我如來屈指為光明拳耀汝心目汝目可見以何為心
T1799_001_0656	當我拳耀當猶對也汝目顯然故云可見又汝眼實可見我拳相意欲推心且許其眼
T1799_001_0657	眼即可見何者是心研覈至窮妄想須顯二正陳妄體
T1799_001_0658	阿難言如來現今徵心所在而我以心推窮尋逐即能推者我將為心
T1799_001_0659	能推之心攀緣妄想生死輪轉是此為根固執既深河沙叵算故今呈露必待破除
T1799_001_0660	三頓呵令問佛言咄阿難此非汝心阿難矍然避座合掌起立白佛此非我心當名何等
T1799_001_0661	世尊現相以呵叱過之深也阿難驚起以避座執之重也
T1799_001_0662	情之主宰皆謂我心今被頓呵孰不驚愕咄呵聲矍居縛反逸起貌四克示非真
T1799_001_0663	佛告阿難此是前塵虛妄相想惑汝真性前塵之相本自虛妄從識變生猶如影像而復引起念想緣慮名之為心
T1799_001_0664	心之與境二俱虛妄此心及境即真如海中一浮漚耳
T1799_001_0665	故下文云汝身汝心皆是妙明真情妙心中所現物
T1799_001_0666	浮塵既現實體即隱能覆能暗故云惑汝真性由汝無始至于今生認賊為子失汝元常故受輪轉
T1799_001_0667	此之妄想能損法身能傷慧命功德法財由之喪失名之為賊
T1799_001_0668	迷而不識認為真常將謂嫡生欲期嗣世反遭破喪歷劫貧窮故失元常受輪轉也故下文云睧擾擾相以為心性
T1799_001_0669	一迷為心決定惑為色身之內不知色身外洎山河虛空大地咸是妙明真心中物棄之大海唯認浮漚迷中倍人真可怜愍
T1799_001_0670	二顯示真心者真心之體本周法界非妄非真絕言離相能攝一切世間出世間法
T1799_001_0671	然具三大通二門若約真如門顯此心者則亡因果絕染淨口談辭喪心緣慮亡無法可破無法可會此則唯顯體大義也
T1799_001_0672	若就生滅門顯此心者則彰染淨明體用顯真妄論因果有修有證或破或會如斯顯示皆為隨順入於真如
T1799_001_0673	真如之體即一心也一心真如及生滅相無二無別即三明一即一論三故得治生產業皆與實相不相違背
T1799_001_0674	已界佛界眾生亦然今之所顯真心相者依生滅門破妄顯也
T1799_001_0675	然破會之相諸經論中具有此二蓋隨執心輕重根有利鈍乘有頓漸教分權實若執重根鈍理須破斥
T1799_001_0676	若藥弗瞑眩厥疾弗瘳若根性調柔妄情輕薄指相即性一切皆如猶良馬見鞭影動即正
T1799_001_0677	今經先破後會俾輕重二執皆盡利鈍兩根俱入如此段經即明心能生法自性元常不同前塵分別影事但隨境轉體是無常
T1799_001_0678	下經又明見與見緣本無所有元是菩提妙淨明體又云生滅去來本如來藏
T1799_001_0679	此則先令明識真妄後令了妄即真洎乎開悟無妄可了即云皆即菩提
T1799_001_0680	妙明元心維摩法華皆有此意如調馬善醫適時御物在座根性既殊說者理須兼
T1799_001_0681	二如來善巧妙達時機文二一阿難伸疑二一別敘疑三一發心修行疑
T1799_001_0682	阿難白佛言世尊我佛寵弟心愛佛故令我出家我心何獨供養如來
T1799_001_0683	乃至遍歷恒沙國土承事諸佛及善知識發大勇猛行諸一切難行法事皆用此心起意修行親近善友即是發菩提心
T1799_001_0684	如來常教令發此心今復何故說為非心故敘為難
T1799_001_0685	淮涅槃經發菩提心不是佛性師子吼云若一切眾生先有佛性何故復有初發菩提心者
T1799_001_0686	佛言菩提之心實非佛性是無常故乃至雖念念滅相續不斷名為修道
T1799_001_0687	猶如燈焰雖念念滅亦能破暗菩提之心亦復如是
T1799_001_0688	今經欲明如來藏心常住真性即是涅槃正因佛性發菩提心乃是緣了體是無常是故阿難同師子吼以緣了性難正因性此則不辨三因常無常義妄以為難也
T1799_001_0689	二謗法退善疑縱令謗法永退善根亦因此心依之修行能成佛道因之謗法永作闡提佛說非心誠為難信
T1799_001_0690	三無心土木疑若此發明不是心者我乃無心同諸土木土木不能了知不能修謗為無此心
T1799_001_0691	此若非心土木何異二總結請離此覺知更無所有云何如來說此非心
T1799_001_0692	我實驚怖兼此大眾無不疑惑唯垂大悲開示未悟不了正因體遍通情無情但執修謗之心便見土木無性
T1799_001_0693	洎被呵責此非汝心由不早辨遂至驚怖然阿難豈謂不知直為末世多作此計用妄心即是佛心惑者既群卒難領悟故再三疑難請為開示也
T1799_001_0694	二如來正顯二一約現法隨緣以顯心爾時世尊開示阿難及諸大眾欲令心入無生法忍於師子座摩阿難頂而告之言摩頂安慰也
T1799_001_0695	阿難疑問將謂無心今若開示必知體遍冥合此理了法無生印可決定名無生忍
T1799_001_0696	得此忍時通達一切法門成就一切佛法此非小緣故佛安慰警動其意是故摩頂也
T1799_001_0697	如來常說諸法所生唯心所現一切因果世界微塵因心成體總標色心故云諸法無別生處故曰唯心
T1799_001_0698	此法生起謂由真如不守自性為因無始妄想熏習為緣因緣和合成梨耶識從此變生根身種子器世間等如水起波如鏡現像故云唯心
T1799_001_0699	所現一切因果者別舉正報聖凡總該故云一切世界微塵別指依報一切之言亦通此轉
T1799_001_0700	既由真心隨緣所現亦依真心以為自體如像不離鏡波不離水
T1799_001_0701	如下文云我常說言色心諸緣及心所使諸所緣法唯心所現外洎山河虛空大地咸是妙明真心中物故云因心成體二約自性不變以顯心二一舉況阿難
T1799_001_0702	若諸世界一切所有其中乃至草葉縷結詰其根元咸有體性縱令虛空亦有名貌世間妄有不出色空色中小者草葉縷結草葉有根種縷結因絲麻太清為名顯色是貌妄相尚爾況真心耶
T1799_001_0703	二正顯何況清淨妙淨明心性一切心而自無體清淨揀異妄染
T1799_001_0704	妙淨明心即三德具足靈鑒無昧也雖能隨緣成一切法而一切法不能變動若變動者即無諸法
T1799_001_0705	以不變故為諸法性如鏡現像不為像變若為像變則不能現一切諸像以不變故為像所依
T1799_001_0706	此亦如是故云性一切也豈得妄想不實真亦無體
T1799_001_0707	故此責云而自無體也三重破執情二一就執定其有性
T1799_001_0708	若汝執悋分別覺觀所了知性必為心者牒其所執也堅守不捨故云執悋
T1799_001_0709	思惟尋伺藉緣托塵如劃水印空隨手即滅汝必以此為真性者
T1799_001_0710	下即語云此心即應離諸一切色香味觸諸塵事業別有全性定其有性也
T1799_001_0711	色香等即是事境有牽心用故名為業既因境有自性元無若保為真離塵應在
T1799_001_0712	二就因顯其唯塵二一正示唯塵二一例對五塵顯
T1799_001_0713	如汝今者承聽我法此則因聲而有分別因聲分別全性元無色香味觸例此可見二單就法塵顯
T1799_001_0714	縱滅一切見聞覺知內守幽閑猶為法塵分別影事五境不對明了不行既絕外緣故云內守幽閑也
T1799_001_0715	當爾之時不無分別若便將此內分別心為全性者此亦非理而不知此全由第六法塵影像事境所發亦非全性乃是意識在獨散位比量別緣取獨影境非是明了同五所取故云縱滅見聞覺知也
T1799_001_0716	二遣其自揣二一塵亡體在容是真常我非勅汝執為非心我今非是不徇理道
T1799_001_0717	強制勅汝執為非心意顯如來言無抂逼也但汝於心微細揣摩但猶獨也
T1799_001_0718	此觀不由他人獨於自心諦審揣度研摩理道也此即理長即就何必求人矣
T1799_001_0719	若離前塵有分別性即真汝心若汝研窮此分別體離六塵外實有性者我即容許是汝真心
T1799_001_0720	世人只知即心是佛曾不子細度量此心剎那變異猶如猿猴害馬紛然亂想無暫停時
T1799_001_0721	故楞伽云當於靜處觀此妄想流注生滅凡夫不覺妄謂不動
T1799_001_0722	故下經云如瀑流水望如恬靜流急不見非是無流
T1799_001_0723	起信亦云一切眾生不名為覺以從本已來念念相續未曾離念故說無始無明
T1799_001_0724	故佛再令微細揣摩揩定真偽二境去心空足彰虛妄二
T1799_001_0725	一正示若分別性離塵無體斯則前塵分別影事若離前塵無此分別足顯分別宛是妄想
T1799_001_0726	自性本無屬於前塵故可名為分別影事如下文云若真汝心則無所去
T1799_001_0727	云何離聲無分別性斯則豈唯聲分別心分別我容離諸色相無分別性
T1799_001_0728	二釋成塵非常住若變滅時此心則同龜毛兔角心因塵有塵屬無常
T1799_001_0729	塵既無常必歸變滅皮之不存毛將安附則汝法身同於斷滅其誰修證無生法忍
T1799_001_0730	若汝堅執無常之心是真性者應合法身同於斷滅以法身體即真性故
T1799_001_0731	法身若斷依何修行證無生忍若了如來藏心本周法界本無生滅含裹十方寧有方所
T1799_001_0732	凡夫身心如影如像執此影像為佛性者一何鄙哉四彰其自失
T1799_001_0733	即時阿難與諸大眾默然自失初聞佛斥此非汝心則驚疑設難將謂無心洎乎顯示清淨妙明性一切心本來遍圓而為世界因果微塵平等體性
T1799_001_0734	佛雖開示又恐久執尚堅再約緣塵重研妄想離塵無體豈是元真苦
T1799_001_0735	堅執不融法身應斷修證法忍必無所依阿難雖未悟真且知執妄是失故云默然自失
T1799_001_0736	三結示執妄過失佛告阿難世間一切諸修學人現前雖成九次第定不得漏盡成阿羅漢四禪四空及滅受想名為九定
T1799_001_0737	通名次第者若入禪時智慧深利能從一禪入一禪心心相續更無異念可間雜故
T1799_001_0738	然修此定能成無漏今言不得漏盡者乃通指世間有漏心修欲界未至及四禪四空定耳
T1799_001_0739	凡夫修禪多生味著隨禪感果不出三界故非無漏
T1799_001_0740	非別指於滅盡等九亦可別斥前之九定雖通無漏俱是不了
T1799_001_0741	問既修此定能得無漏何故經云不得漏盡成阿羅漢答此明不得大乘阿羅漢也
T1799_001_0742	纓絡經中初歡喜地名鳩摩羅伽秦言逆流乃至七地名阿羅漢秦言過三有
T1799_001_0743	故知今言不得漏盡乃指不斷二障之漏不證大乘羅漢也況究竟無學佛地始稱故佛三號有阿羅訶也
T1799_001_0744	皆由執此生死妄想誤為真實是故汝今雖得多聞不成聖果
T1799_001_0745	若了真妄達法界性見與見緣以現前境元我覺明終不誤執生死根本以為真實
T1799_001_0746	由是不辨認妄為真久處輪迴不成聖果然阿難亦得初果以未究竟故云未得若約大乘故無所惑
T1799_001_0747	二破妄見明真見者由前佛問入道發心遂答因覩如來勝相由眼觀見心生愛樂洎乎舉拳再問復云耀我心目
T1799_001_0748	七處徵詰三疑拒抗但且論心未言其見蓋心為萬法之源見為六根之首心有真妄見具正邪故前破妄心顯如來藏即一真法界離緣絕相是所觀境
T1799_001_0749	境既已說次明能觀之智智即是慧慧用差別說名為見
T1799_001_0750	見有正邪故須料揀故下文云唯願如來開我道眼得清淨眼等
T1799_001_0751	此蓋先體後用法如是也然體用二法不相捨離體是即用之體用是即體之用
T1799_001_0752	故前後經文明心則約見而辨顯見則就心而論故知一法義分二也
T1799_001_0753	文三一承前開示責己求哀二一責己無修二一正敘
T1799_001_0754	阿難聞已重復悲淚五體投地長跪合掌責己內重涕淚外形拜而復跪冀聞正說
T1799_001_0755	而白佛言自我從佛發心出家恃佛威神常自思惟無勞我修將謂如來惠我三昧
T1799_001_0756	不知身心本不相代失我本心雖身出家心不入道
T1799_001_0757	初心入道罔解克修恃賴親因將惠正受豈知身戒雖從佛得心定宜當自證
T1799_001_0758	木不相代斯之謂歟涅槃云汝諸比丘身雖出家而未曾染大乘法服
T1799_001_0759	雖復乞食經歷多年初未曾求大乘法食衣嚴法體食資慧命不識本常衣食俱失
T1799_001_0760	二喻顯譬如窮子捨父逃逝今日乃知窮子捨父喻也
T1799_001_0761	絕無功德法財以養法身慧命故云窮子不識本真背清淨覺故云捨父
T1799_001_0762	輪轉五道往而不返故云逃逝因佛指示方知過誤故云今日乃知
T1799_001_0763	雖有多聞若不修行與不聞等如人說食終不能飽說食不飽喻也前法後喻合之可知
T1799_001_0764	夫修行者必須內修理觀外助多聞如人有目日光明照見種種色
T1799_001_0765	若偏文字不習觀門說食何異故大論云有慧無多聞是不知實相譬如大暗中有目無所覩
T1799_001_0766	多聞無智慧亦不知實相譬如大明中有燈而無目
T1799_001_0767	多聞利智慧是所說應受無聞無智慧譬如人身牛二述迷求解世尊
T1799_001_0768	我等今者二障所纏良由不知寂常心性煩惱所知名為二障
T1799_001_0769	由煩惱障障心心不解脫造業受報由所知障障慧慧不解脫迷法空理不知諸法性相
T1799_001_0770	若了本性常寂諸法元空自然擾惱不生業性不結誰曰生死
T1799_001_0771	誰為涅槃涅槃生死猶如昨夢今為所縛實為不知
T1799_001_0772	二障名體如常所辨也惟願如來哀愍窮露發妙明心開我道眼無財之極
T1799_001_0773	曰窮無上可覆曰露既無功德法財非窮如何既無權實父母非露如何發妙明心破煩惱障也
T1799_001_0774	開我道眼破所知障也既開道眼見性明心二障若亡二執隨遣者成住地遠至妙覺善哉妙請不亦至哉二放光灌頂許為宣說
T1799_001_0775	二一放光灌頂即時如來從胸萬字涌出寶光前光從口此光從胸者前文從說顯心此文從心發見萬字者表無漏性德
T1799_001_0776	梵云阿悉底迦此云有樂即是吉祥勝德之相有此相者必受安樂則天長壽二年權制此字安於天樞其形如此
T1799_001_0777	卍音為萬字佛胸前有此之形然八種相中此當第一謂吉祥萬德之所集也
T1799_001_0778	其光晃昱有百千色十方微塵普佛世界一時周遍遍灌十方所有寶剎諸如來頂旋至阿難及諸大眾體既具德用不離體用亦具德故云有百千色
T1799_001_0779	一時周遍者無漏淨眼普見十方智照無遺微塵皆遍遍灌佛頂智果必同及諸大眾乘因不二二許為開顯
T1799_001_0780	告阿難言吾今為汝建大法幢亦令十方一切眾生獲妙微密性淨明心得清淨眼根本智性因茲顯發能建大義名大法幢
T1799_001_0781	三德祕藏不縱橫竝別故云妙十地見之如隔羅縠故曰微惟佛與佛乃能究盡故曰密
T1799_001_0782	心即體也眼即用也三約破執廣辨見性二一且示見性惟心
T1799_001_0783	二一舉前問答引出常情二一舉前所答問其因由二一問因
T1799_001_0784	阿難汝先答我見光明拳此拳光明因何所有云何成拳汝將誰見此問有三正在誰見餘即兼耳二答由
T1799_001_0785	阿難言由佛全體閻浮檀金赩如寶山清淨所生故有光明
T1799_001_0786	我實眼觀五輪指端屈握示人故有拳相先光次見後拳也不從問次者文便故也
T1799_001_0787	閻浮檀金正云染部捺陀此西域河名其河近其樹其金出彼河此則河因樹名金因河稱也
T1799_001_0788	或云閻浮果汁點物成金因流入河染刀為金也其色赤黃兼帶紫焰故也
T1799_001_0789	觀經疏說閻浮檀金超過紫磨金色百千萬倍唯聖所知
T1799_001_0790	佛身光明猶如聚目紫磨必不如此赩許力反大赤色也
T1799_001_0791	二且約無拳例其無見二一約無拳以例問二一舌語佛告阿難如來今日實言告汝諸有智者要以譬喻而得開悟無智之人縱喻難明故舉智者因喻開悟
T1799_001_0792	二正例阿難譬如我拳若無我手不成我拳若無汝眼不成汝見
T1799_001_0793	以汝眼根例我拳理其義均不以其情見必然故順清而問待其伸答後乃奪之
T1799_001_0794	二據常情以類答阿難言唯然世尊既無我眼不成我見例如來拳事義相類果然情見不出於斯故答相類
T1799_001_0795	二約盲緣境以奪破六一奪佛告阿難汝言相類是義不然
T1799_001_0796	何以故如無手人拳畢竟滅彼無眼者非見全無意
T1799_001_0797	明盲雖無眼心中有見後自釋之二驗所以者何汝試於途詢問盲人汝何所見
T1799_001_0798	彼諸盲人必來答汝我今眼前唯見黑暗更無他矚以是義觀前塵自暗見何虧損
T1799_001_0799	盲雖不見明還能見暗即此見暗亦名為見故云見何虧損三難
T1799_001_0800	阿難言諸盲眼前唯覩黑暗云何成見常情見暗不名為見
T1799_001_0801	故以此難四徵佛告阿難諸盲無眼唯觀黑暗與有眼人處於暗室
T1799_001_0802	二黑有別為無有別徵訖五通如是世尊此暗中人與彼群音二黑校量曾無有異
T1799_001_0803	無眼見黑與有眼見黑二見無別故知見即是心不唯在眼六釋三一牒向執情阿難
T1799_001_0804	若無眼人全見前黑忽得眼光還於前塵見種種色名眼見者無眼見黑有眼見塵汝必許此是眼所見
T1799_001_0805	二引燈例破彼暗中人全見前黑忽獲燈光亦於前塵見種種色應名燈見
T1799_001_0806	此正例無燈見黑有燈見塵亦應許此是燈所見若燈見者燈能有見自不名燈
T1799_001_0807	又則燈觀何關汝事此縱破設或汝許名為燈見燈若有見應名為人不合名燈
T1799_001_0808	又若燈見彼暗中人得燈光時不合名見燈自見故
T1799_001_0809	應知因燈見色燈不名見因眼見色眼不是見燈之與眼但是見緣體非是見也
T1799_001_0810	三結歸心見是故當知燈能顯色如是見者是眼非燈
T1799_001_0811	舉前有眼在暗室時因燈顯照前塵境界眼方得見此名眼見
T1799_001_0812	眼能顯色如是見性是心非眼此舉盲者得眼光時因眼顯照前塵境界心方得見
T1799_001_0813	以前例此應知見性是心非眼也窮其根本見性元心
T1799_001_0814	遽遽相推心為其主餘是助因以常情只知眼見不識是心
T1799_001_0815	今此且令知其根本未辨真妄二廣約諸相辨釋三一對境動搖麁論真見二一阿難佇佛慈音
T1799_001_0816	阿難雖復得聞是言與諸大眾口已默然心未開悟猶冀如來慈音宣示合掌清心佇佛悲誨
T1799_001_0817	雖知見性唯心未識真妄若言是妄如來又許獲妙明心得清淨眼
T1799_001_0818	若謂是真前文廣破非真乃云前塵虛妄相想惑汝真性
T1799_001_0819	進之又不可退之又難明羝羊觸蕃斯之謂矣心既未了口即默然密冀如來慈音開示
T1799_001_0820	二如來廣為開示三一問悟客塵引其開解二一如來問悟因由
T1799_001_0821	爾時世尊舒兜羅綿網相光手開五輪指誨勅阿難及諸大眾我初成道於鹿園中即波羅奈國鹿野苑中五仙所居修行處也
T1799_001_0822	佛成道後先入此園度五人耳為阿若多五比丘等及汝四眾言一切眾生不成菩提及阿羅漢皆由客塵煩惱所誤汝等當時因何開悟今成聖果
T1799_001_0823	五比丘者謂阿若憍陳如摩訶男頞鞞比丘婆提婆敷
T1799_001_0824	此五佛初出家雪山修道父王憶戀遂召彼往親近承事彼疑非真相次捨去同在鹿園習外道法
T1799_001_0825	佛成道後思欲先度彼勞苦者天眼觀見在仙人苑故往開示三轉法輪說生滅四諦苦集滅道
T1799_001_0826	今言客塵者即別指集諦分別煩惱麁動如客俱生微細難辨如塵
T1799_001_0827	此俱喻煩惱障也若下圓通陳如述證即通大乘客如煩惱塵如所知二義無在二陳如述已領解二一標所悟
T1799_001_0828	時憍陳那起立白佛我今長老於大眾中獨得解名因悟客塵二字成果德長臘高最初度故名為長老佛轉法輪五人之中陳如先悟佛問解否
T1799_001_0829	答言已解因得解名悟此見修如客如塵證得無為生空涅槃湛然不動如主及空因即獲果
T1799_001_0830	二述所解二一述客義世尊譬如行客投寄旅亭或宿或食宿食事畢俶裝前途不遑安住
T1799_001_0831	若實主人自無攸往如是思惟不住名客住名主人以不住者名為客義
T1799_001_0832	旅亭止客舍也俶始前進遑暇也此明客義怱怱不暇停住喻分別煩惱數數造業流轉五道未曾暫息
T1799_001_0833	三界旅泊受果始畢又造新業故云食宿事畢俶裝前途二述塵義
T1799_001_0834	又如新霽清陽昇天光入隙中發明空中諸有塵相塵質搖動虛空寂然
T1799_001_0835	如是思惟澄寂名空搖動名塵以搖動者名為塵義佛言如是
T1799_001_0836	此舉新晴太陽高照光入牖隙現空中塵搖動不息此喻俱生煩惱微細難見自非觀智照現終不覺知與身俱生與心同事故此煩惱體全是生滅虛妄不息主人及空俱喻真性不動之義
